"Alter1_ID","Alter2_ID","Weight","Ego_ID"
"SHAE","TYRION",243,"BRONN"
"SHAGGA","TYRION",22,"BRONN"
"CATELYN","TYWIN",6,"BRONN"
"CERSEI","TYWIN",75,"BRONN"
"JOFFREY","TYWIN",61,"BRONN"
"KEVAN","TYWIN",21,"BRONN"
"LORAS","TYWIN",12,"BRONN"
"LYSA","TYWIN",2,"BRONN"
"PYCELLE","TYWIN",12,"BRONN"
"RODRIK","TYWIN",2,"BRONN"
"SANSA","TYWIN",14,"BRONN"
"SHAE","TYWIN",8,"BRONN"
"SHAGGA","TYWIN",6,"BRONN"
"TYRION","TYWIN",187,"BRONN"
"CATELYN","VARDIS_EGEN",13,"BRONN"
"LYSA","VARDIS_EGEN",7,"BRONN"
"MORD","VARDIS_EGEN",3,"BRONN"
"ROBIN","VARDIS_EGEN",3,"BRONN"
"TYRION","VARDIS_EGEN",9,"BRONN"
"CATELYN","VARYS",11,"BRONN"
"CERSEI","VARYS",29,"BRONN"
"JANOS","VARYS",8,"BRONN"
"JOFFREY","VARYS",26,"BRONN"
"LYSA","VARYS",2,"BRONN"
"PYCELLE","VARYS",27,"BRONN"
